PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE,PRICE_CAT,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,LOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
315000,2,2.0,1400.0,2 E 55th St Unit 803,"New York, NY 10022",New York County,New York,Manhattan,East 55th Street,40.761255,-73.9744834,1,12.660331092405906,7.244941546337007,1.7474718065609354,0.0014285714285714286,0.0014285714285714286,0.022090376650477507,New York,4.0,30.92652731066851
260000,4,2.0,2015.0,620 Sinclair Ave,"Staten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5418051,-74.1961086,1,12.468440756144114,7.60887062919126,1.6386716720230758,0.0019851116625310174,0.0009925558312655087,0.3298592231846378,New York,8.0,664.6663347170452
69000,3,1.0,445.0,2 E 55th St Unit 908W33,"Manhattan, NY 10022",United States,New York,New York County,New York,40.7613979,-73.9746128,1,11.141876276228,6.100318952020064,1.826441594916684,0.006741573033707865,0.0022471910112359553,0.021968803978596442,New York,3.0,9.776117770475416
690000,5,2.0,4004.0,584 Park Pl,"Brooklyn, NY 11238",United States,New York,Kings County,Brooklyn,40.6743632,-73.9587248,2,13.444448325847754,8.29529885950246,1.6207310373690542,0.0012487512487512488,0.0004995004995004995,0.10945009040324707,New York,10.0,438.23816197460127
899500,2,2.0,2184.207862,157 W 126th St Unit 1B,"New York, NY 10027",New York,New York County,New York,Manhattan,40.809448,-73.946777,3,13.709595444100845,7.6894662343551055,1.7829059945473096,0.0009156637675356925,0.0009156637675356925,0.03592631393561334,New York County,4.0,78.47053735084683
265000,1,1.0,750.0,875 Morrison Ave Apt 3M,"Bronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,40.8215857,-73.8740892,1,12.487488878546145,6.621405651764134,1.8859271785016096,0.0013333333333333333,0.0013333333333333333,0.10445887507114647,The Bronx,1.0,78.34415630335985
440000,2,1.0,978.0,1350 Ocean Pkwy Apt 5G,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6157378,-73.9696944,2,12.994532278619134,6.88653164253051,1.8869487505678826,0.002044989775051125,0.0010224948875255625,0.16736897209518803,Kings County,2.0,163.6868547090939
375000,2,1.0,850.0,800 Grand Concourse Apt 2JS,"Bronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,40.8248699,-73.9229829,1,12.834683971615659,6.7464121285733745,1.9024458819016348,0.002352941176470588,0.001176470588235294,0.06379352066174653,Bronx County,2.0,54.22449256248455
689000,3,2.3738608579684373,1162.0,456 Van Name Ave,"Staten Island, NY 10303",United States,New York,Richmond County,Staten Island,40.6249962,-74.1553058,2,13.442998001373553,7.0587581525186645,1.9044423552855259,0.0025817555938037868,0.0020429095163239566,0.24267623939743022,New York,7.121582573905312,281.9897901798139
259000,3,1.0,2184.207862,34-41 85th St Unit 1D,"Jackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7531191,-73.8818757,1,12.464587201678082,7.6894662343551055,1.6209951148479753,0.0013734956513035386,0.00045783188376784625,0.09422146748644979,Queens County,3.0,205.79927005308102
430000,2,2.0,2184.207862,91-15 Lamont Ave Unit 6D,"Elmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7438639,-73.8745722,2,12.971542813248437,7.6894662343551055,1.6869236976806004,0.0009156637675356925,0.0009156637675356925,0.10428999604970943,Queens County,4.0,227.7910292997243
895000,3,1.0,2184.207862,61 Jane St Apt 6N,"New York, NY 10014",New York,New York County,New York,Manhattan,40.7382981,-74.0058899,3,13.704580114574805,7.6894662343551055,1.7822537607805973,0.0013734956513035386,0.00045783188376784625,0.05666215143832687,New York County,3.0,123.76191664942817
549000,2,2.0,1000.0,4654 Amboy Rd Unit 2B,"Staten Island, NY 10312",New York,Richmond County,Staten Island,Annadale,40.5406209,-74.1671632,2,13.215855541983634,6.90875477931522,1.912914260837835,0.002,0.002,0.311765440180678,Richmond County,4.0,311.76544018067796
975000,3,2.0,1734.0,28-31 Hobart St,"Woodside, NY 11377",United States,New York,Queens County,Queens,40.7607676,-73.9056672,3,13.790193775620484,7.45876269238096,1.848858094078661,0.0017301038062283738,0.0011534025374855825,0.06923354653345297,New York,6.0,120.05096968900745
199000,3,1.0,325.0,9430 Ridge Blvd Apt 6D,"Brooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6181029,-74.0369047,1,12.201065128819632,5.786897381366708,2.1083949351004514,0.009230769230769232,0.003076923076923077,0.17759828436812097,Kings County,3.0,57.719442419639314
350000,1,1.0,700.0,5800 Arlington Ave Apt 21A,"Bronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.9073699,-73.9065578,1,12.765691290604371,6.55250788703459,1.9482145631390648,0.0014285714285714286,0.0014285714285714286,0.14007720038196678,Bronx County,1.0,98.05404026737675
599000,2,2.0,974.0,92-29 Queens Blvd Unit 3H,"Rego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7324713,-73.8670804,2,13.303018546545275,6.882437470997847,1.932893484699766,0.002053388090349076,0.002053388090349076,0.11577632041072834,Queens County,4.0,112.7661360800494
639999,3,2.0,1260.0,27 Clove Way,"Staten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.6207403,-74.1114362,2,13.369223455335854,7.13966033596492,1.8725293398049325,0.002380952380952381,0.0015873015873015873,0.21453872371795688,New York,6.0,270.3187918846257
1300000,2,2.0,1244.0,10724 71st Rd Apt 9F,"Forest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7202429,-73.8430513,4,14.077875591662238,7.126890808898808,1.9753179849597615,0.001607717041800643,0.001607717041800643,0.14273438384670534,Queens County,4.0,177.56157350530145
1100000,6,3.0,2837.0,1038 Throggs Neck Expy Unit Sr,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8343936,-73.8221101,4,13.910821646859095,7.950854857719988,1.749600753100429,0.0021149101163200562,0.0010574550581600281,0.1576668376132659,New York,18.0,447.30081830883535
349900,1,1.0,651.0,165 Cromwell Ave Apt 2B,"Staten Island, NY 10304",New York,Richmond County,Staten Island,Dongan Hills,40.5902064,-74.0958034,1,12.765405536311112,6.480044561926653,1.969956443095152,0.0015360983102918587,0.0015360983102918587,0.22963873412932473,Richmond County,1.0,149.4948159181904
750000,2,2.0,1330.0,280 Loretto St,"Staten Island, NY 10307",United States,New York,Richmond County,Staten Island,40.5039785,-74.2396555,3,13.527829818844937,7.193685818395112,1.8805144067110444,0.0015037593984962407,0.0015037593984962407,0.3872688565357382,New York,4.0,515.0675791925319
1690000,6,4.0,2200.0,149-07 85 Rd,"Briarwood, NY 11435",United States,New York,Queens County,Queens,40.710749,-73.809486,4,14.340239678615058,7.696667081526462,1.8631752584225056,0.0027272727272727275,0.0018181818181818182,0.17716118366334138,New York,24.0,389.75460405935104
325000,1,1.0,2184.207862,35-45 81st St Unit E1,"Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7505078,-73.8851355,1,12.691583538230217,7.6894662343551055,1.650515543136997,0.00045783188376784625,0.00045783188376784625,0.09202906965241135,Queens County,1.0,201.0106174673425
230000,1,1.0,2184.207862,33-24 Junction Blvd Unit 6R,"Jackson Heights, NY 11372",United States,New York,Queens County,Queens,40.7557689,-73.8734231,1,12.345838935721968,7.6894662343551055,1.6055521357988485,0.00045783188376784625,0.00045783188376784625,0.10152492896239713,New York,1.0,221.75154802865936
925000,5,2.0,2750.0,543 Hollywood Ave,"Bronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8242389,-73.8173809,3,13.73755009757506,7.919719760924575,1.7346005303565555,0.0018181818181818182,0.0007272727272727272,0.15922538936368702,New York,10.0,437.8698207501393
329000,1,2.0,794.0,47 Lynn Ct,"Staten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6210398,-74.1504313,1,12.703816069256568,6.678342114654332,1.902240983039862,0.0012594458438287153,0.0025188916876574307,0.24163478086510837,New York,2.0,191.85801600689604
848000,5,4.0,2080.0,544 Hinsdale St,"Brooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6615475,-73.898309,3,13.650637094018627,7.640603826393634,1.7865914009131043,0.002403846153846154,0.0019230769230769232,0.14173252321626736,New York,20.0,294.80364828983613
279000,1,1.0,750.0,1801 Ocean Ave Apt 4A,"Brooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6179165,-73.9546305,1,12.53897064502647,6.621405651764134,1.8937022294783774,0.0013333333333333333,0.0013333333333333333,0.16601246038324755,Kings County,1.0,124.50934528743566
528000,1,1.0,602.0,1238 63rd St Unit 432,"Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,40.6275896,-74.0016198,2,13.176853456625999,6.401917196727186,2.058266774109844,0.0016611295681063123,0.0016611295681063123,0.15845771909313655,Kings County,1.0,95.3915468940682
