BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE,PRICE_LOG,SQFT_LOG,PRICE_PER_SQFT,PRICE_PER_SQFT_LOG,BEDS_PER_SQFT,BATH_PER_SQFT,DIST_TO_MANHATTAN,DIST_TO_JFK_AIRPORT,DIST_TO_LAGUARDIA_AIRPORT,DIST_TO_TIMES_SQUARE,LOCALITY_GROUPED,SUBLOCALITY_GROUPED,BEDS_TIMES_BATH,SQFT_TIMES_DISTANCE
Brokered by E Realty International Corp,House for sale,2098000,5,4.0,1200.0,147-48 8th Ave,"Flushing, NY 11357","147-48 8th AveFlushing, NY 11357",United States,New York,Queens County,Queens,8th Avenue,"147-48 8th Ave, Flushing, NY 11357, USA",40.7928436,-73.8190811,14.55649554458269,7.090909822079984,1748.3333333333333,7.466990041955815,0.0041666666666666,0.0033333333333333,0.1524306316924757,0.1569869843591175,0.0571863966181546,0.1700274293699945,New York,Queens County,20.0,182.91675803097087
Brokered by Exp Realty,Multi-family home for sale,685000,4,2.0,2000.0,884 E 161st St,"Bronx, NY 10459","884 E 161st StBronx, NY 10459",United States,New York,Bronx County,The Bronx,East 161 Street,"884 E 161 St, Bronx, NY 10459, USA",40.8194513,-73.9001792,13.437175577097312,7.601402334583733,342.5,5.839187111662404,0.002,0.001,0.0797832754675433,0.215965776835889,0.0499596201379677,0.1051470455330544,New York,Bronx County,8.0,159.56655093508667
Brokered by Ernest Chi Real Estate LLC,Co-op for sale,729000,3,2.0,1400.0,4555 Henry Hudson Pkwy Apt 903,"Bronx, NY 10471","4555 Henry Hudson Pkwy Apt 903Bronx, NY 10471",New York,Bronx County,The Bronx,Riverdale,4555,"4555 Henry Hudson Pkwy #903, Bronx, NY 10471, USA",40.8924692,-73.9091145,13.499430382731967,7.244941546337007,520.7142857142857,6.257120092659545,0.0021428571428571,0.0014285714285714,0.1257625986487639,0.2832856619013597,0.1207860426493521,0.1546502840569314,Bronx County,The Bronx,6.0,176.0676381082695
Brokered by Brown Harris Stevens,Co-op for sale,280000,1,1.0,1000.0,8015 6th Ave Apt A1,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,8015,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",40.6241766,-74.0216837,12.54254845357358,6.90875477931522,280.0,5.638354669333745,0.001,0.001,0.1667490660641006,0.2441848269922828,0.2124497873692753,0.1386288661615999,Kings County,Brooklyn,1.0,166.74906606410062
Brokered by Geo Real Estate Group Inc,Multi-family home for sale,799000,3,2.0,2184.207862,8324 Glenwood Rd,"Brooklyn, NY 11236","8324 Glenwood RdBrooklyn, NY 11236",United States,New York,Kings County,Brooklyn,Glenwood Road,"8324 Glenwood Rd, Brooklyn, NY 11236, USA",40.638624,-73.911936,13.591117476312084,7.6894662343551055,365.8076751305092,5.904837664728578,0.0013734956513035,0.0009156637675356,0.1561586893899891,0.1338627501286322,0.1433854674365554,0.1402222930635542,New York,Kings County,6.0,341.0830370852303
Brokered by Showcase Realty Inc,Co-op for sale,269000,3,1.0,2184.207862,144-11 Sanford Ave Unit 6L,"Flushing, NY 11355","144-11 Sanford Ave Unit 6LFlushing, NY 11355",New York,Queens County,Queens,Flushing,144-11,"144-11 Sanford Ave #6c, Flushing, NY 11355, USA",40.7592939,-73.8203855,12.502470376049184,7.6894662343551055,123.15677673355064,4.821545095511189,0.0013734956513035,0.0004578318837678,0.1526818384990776,0.125342027857622,0.0564312800444864,0.1651195696683481,Queens County,Queens,3.0,333.4888720342997
Brokered by Century Homes Realty Group LLC,Co-op for sale,210000,2,1.0,1000.0,144-55 Melbourne Ave Unit 1H,"Flushing, NY 11367","144-55 Melbourne Ave Unit 1HFlushing, NY 11367",New York,Queens County,Queens,Flushing,144-55,"144-55 Melbourne Ave #1g, Flushing, NY 11367, USA",40.734848,-73.8232512,12.25486757159303,6.90875477931522,210.0,5.351858133476067,0.002,0.001,0.1556184530363871,0.1038742468826623,0.0659075974788887,0.1638923067304877,Queens County,Queens,2.0,155.6184530363871
Brokered by Corcoran Westside Columbus,Co-op for sale,650000,1,1.0,800.0,500 E 83rd St Apt 18A,"New York, NY 10028","500 E 83rd St Apt 18ANew York, NY 10028",New York,New York County,New York,Manhattan,500,"500 E 83rd St #18a, New York, NY 10028, USA",40.7735711,-73.9481587,13.384729180332174,6.68586094706836,812.5,6.7013459266590925,0.00125,0.00125,0.024933941543609,0.2154428122284395,0.0742333776740606,0.0404577784968538,New York County,New York,1.0,19.94715323488724
"Brokered by Robert Defalco Realty, Inc.",House for sale,1199999,5,3.0,1728.0,1206 Tabor Ct,"Brooklyn, NY 11219","1206 Tabor CtBrooklyn, NY 11219",United States,New York,Kings County,Brooklyn,Tabor Court,"1206 Tabor Ct, Brooklyn, NY 11219, USA",40.628704,-74.00189,13.997832114758229,7.455298485683291,694.4438657407408,6.544550297453077,0.0028935185185185,0.0017361111111111,0.1574166475186152,0.224144202057523,0.1957496015730341,0.1303306860106283,New York,Kings County,15.0,272.0159669121671
Brokered by Bright Horizons Realty Inc,House for sale,2150000,4,2.3738608579684373,2184.207862,153 Jaffrey St,"Brooklyn, NY 11235","153 Jaffrey StBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,Jaffray Street,"153 Jaffray St, Brooklyn, NY 11235, USA",40.5790771,-73.9425262,14.580978865220017,7.6894662343551055,984.3385501008694,6.892985287804982,0.0018313275350713,0.0010868291884064,0.2060279848245108,0.1758057579570503,0.2093555345598737,0.1840112812597399,New York,Kings County,9.495443431873747,450.0079442457133
