PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_CAT
129000,3,1.0,2184.207862,Queens County,Queens,40.7104509,-73.7982064,1
6000000,4,4.0,2184.207862,New York County,New York,40.7625546,-73.9703842,5
709999,4,2.0,2184.207862,New York,Queens County,40.6811881,-73.793438,3
4000000,6,4.0,5854.0,New York,Kings County,40.6777386,-73.9939495,5
2399000,5,5.0,2184.207862,New York,Kings County,40.6115517,-73.9061979,5
1299000,6,2.3738608579684373,3733.0,New York,Richmond County,40.6298438,-74.1233871,4
710000,3,2.3738608579684373,1400.0,New York,Queens County,40.7011513,-73.7625984,3
695000,2,2.0,2184.207862,New York County,New York,40.7651716,-73.9678719,2
649000,3,2.0,1182.0,Queens County,Queens,40.7302938,-73.8059248,2
1250000,6,4.0,2184.207862,New York,Kings County,40.6800398,-73.8914993,4
119000,3,1.0,2184.207862,Queens County,Queens,40.7095699,-73.79113,1
249000,3,1.0,2184.207862,Queens County,Queens,40.7420053,-73.8901926,1
445000,1,1.0,2184.207862,United States,New York,40.7488491,-73.9716161,2
1450000,4,3.0,2128.0,New York,Kings County,40.6820137,-73.9237828,4
875000,1,1.0,2184.207862,New York County,New York,40.7769649,-73.9769247,3
648998,3,2.0,1296.0,New York,Bronx County,40.8611669,-73.8467192,2
555000,3,2.3738608579684373,2184.207862,New York,Richmond County,40.5403437,-74.2041065,2
7250000,1,2.3738608579684373,4930.0,New York,New York County,40.7168184,-74.0085588,5
1200000,6,3.0,2184.207862,New York,Queens County,40.6943555,-73.8543804,4
7995000,3,4.0,2789.0,Kings County,Brooklyn,40.692916,-74.0008815,5
998000,6,3.0,1872.0,New York,Queens County,40.7086372,-73.9026067,4
2750000,2,2.0,1892.0,New York County,New York,40.7345957,-73.9855511,5
590000,3,1.0,579.0,New York County,New York,40.7942099,-73.9636725,2
1268000,3,2.0,1513.0,New York,Queens County,40.7240812,-73.8521227,4
